given_name,lat,lon,formatted,name,housenumber,district,street,suburb,postcode,city,county,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url,Park Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average
Hot Springs National Park,34.51802,-93.0529422,"Hot Springs National Park, Hot Springs, AR 71901, United States of America",Hot Springs National Park,,,,,71901,Hot Springs,Garland County,Arkansas,AR,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Hot Springs National Park,1396354,1302505,1325719,1424484,1418162,1544300,1561616,1506887,1467153,1348215,1429540
Indiana Dunes National Park,41.61177,-87.20434,"Indiana Dunes National Park Tolleston Dune and Swale Complex, Portage, IN, United States of America",Indiana Dunes National Park Tolleston Dune and Swale Complex,,Portage Township,,,,Portage,Porter County,Indiana,IN,United States,us,0.95,,CC BY 4.0,https://www.geonames.org/datasources/,Indiana Dunes National Park,1840513,1889381,1681695,1553372,1640195,1698223,2158471,1756079,2134285,2293106,1864532
Isle Royale National Park,48.01095,-88.82842,"Isle Royale National Park, Eagle Harbor, MI, United States of America",Isle Royale National Park,,Eagle Harbor Township,,,,Eagle Harbor,Keweenaw County,Michigan,MI,United States,us,1,,CC BY 4.0,https://www.geonames.org/datasources/,Isle Royale National Park,15892,16663,16274,14560,18684,24966,28196,25798,26410,6493,19394
Joshua Tree National Park,33.9166757,-115.9174968,"Joshua Tree National Park, Riverside County, CA, United States of America",Joshua Tree National Park,,,,,,,Riverside County,California,CA,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Joshua Tree National Park,1396237,1396117,1383340,1589904,2025756,2505286,2853619,2942382,2988547,2399542,2148073
Katmai National Park & Preserve,58.078873,-155.822973,"Katmai National Park and Preserve, Lake and Peninsula Borough, AK, United States of America",Katmai National Park and Preserve,,,,,,,Lake and Peninsula Borough,Alaska,AK,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Katmai National Park & Preserve,48939,39818,28966,30896,37818,37818,37818,37818,84167,51511,43557
Kenai Fjords National Park,59.819767,-150.331563,"Kenai Fjords National Park, Kenai Peninsula Borough, AK, United States of America",Kenai Fjords National Park,,,,,,,Kenai Peninsula Borough,Alaska,AK,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Kenai Fjords National Park,346852,281279,283502,270666,296697,346534,303598,321596,356601,115882,292321
Kings Canyon National Park,36.91527845,-118.6076559,"Kings Canyon National Park, Tulare County, CA 93633, United States of America",Kings Canyon National Park,,,,,93633,,Tulare County,California,CA,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Kings Canyon National Park,566810,591033,567544,502268,468106,607479,692932,699023,632110,415077,574238
Kobuk Valley National Park,67.3628265,-159.134984,"Kobuk Valley National Park, 171, Northwest Arctic, AK 99752, United States of America",Kobuk Valley National Park,171,,,,99752,,Northwest Arctic,Alaska,AK,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Kobuk Valley National Park,11485,29550,16875,0,0,15500,15500,14937,15766,11185,13080
Lake Clark National Park & Preserve,60.19738,-154.32261,"Lake Clark National Park and Preserve visitor center, Port Alsworth, AK, United States of America",Lake Clark National Park and Preserve visitor center,,,,,,Port Alsworth,Lake and Peninsula Borough,Alaska,AK,United States,us,0.95,,CC BY 4.0,https://www.geonames.org/datasources/,Lake Clark National Park & Preserve,5158,11639,13000,16100,17818,21102,22755,14479,17157,4948,14416
Lassen Volcanic National Park,40.560575,-121.500797,"Lassen Volcanic National Park, Shasta County, CA, United States of America",Lassen Volcanic National Park,,,,,,,Shasta County,California,CA,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Lassen Volcanic National Park,351269,407653,427409,432977,468092,536068,507256,499435,517039,542274,468947
Mammoth Cave National Park,37.191401,-86.240862,"Mammoth Cave National Park, Edmonson County, KY, United States of America",Mammoth Cave National Park,,,,,,,Edmonson County,Kentucky,KY,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Mammoth Cave National Park,483319,508054,494541,522628,566895,586514,587853,533206,551590,290392,512499
Mesa Verde National Park,37.156427,-108.473089,"Mesa Verde National Park, Montezuma County, CO, United States of America",Mesa Verde National Park,,,,,,,Montezuma County,Colorado,CO,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Mesa Verde National Park,572329,488860,460237,501563,547325,583527,613788,563420,556203,287477,517473
Mount Rainier National Park,46.995443,-121.596332,"Mount Rainier National Park, Pierce County, WA, United States of America",Mount Rainier National Park,,,,,,,Pierce County,Washington,WA,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Mount Rainier National Park,1038229,1049178,1148552,1264259,1237231,1356913,1415867,1518491,1501621,1160754,1269110
National Park of American Samoa,-14.2619444,-170.6880556,"National Park of American Samoa, Pago Pago, AS 96799, United States of America",National Park of American Samoa,,,,,96799,Pago Pago,Eastern District,American Samoa,AS,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,National Park of American Samoa,8716,10440,17919,13953,13892,28892,69468,28626,60006,4819,25673
New River Gorge National Park & Preserve,37.89673105,-81.04297343,"New River Gorge National Park and Preserve, Thurmond, WV, United States of America",New River Gorge National Park and Preserve,,,,,,Thurmond,Fayette County,West Virginia,WV,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,New River Gorge National Park & Preserve,1071088,1128195,1071823,1124799,1178753,1197931,1168658,1232627,1195721,1054374,1142397
North Cascades National Park,48.78179,-121.117523,"North Cascades National Park, Whatcom County, WA, United States of America",North Cascades National Park,,,,,,,Whatcom County,Washington,WA,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,North Cascades National Park,19208,26935,21623,23865,20677,28646,30326,30085,38208,30885,27046
Olympic National Park,47.8594489,-123.9362098,"Olympic National Park, Campground Loop A, Jefferson County, WA, United States of America",Olympic National Park,,,Campground Loop A,,,,Jefferson County,Washington,WA,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Olympic National Park,2966502,2824908,3085340,3243872,3263761,3390221,3401996,3104455,3245806,2499177,3102604
Petrified Forest National Park,35.0880783,-109.8065057,"Petrified Forest National Park, Apache County, AZ, United States of America",Petrified Forest National Park,,,,,,,Apache County,Arizona,AZ,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Petrified Forest National Park,614054,664857,644648,836799,793225,643274,627757,644922,643588,384483,649761
Pinnacles National Park,36.499123,-121.116237,"Pinnacles National Park, San Benito County, CA, United States of America",Pinnacles National Park,,,,,,,San Benito County,California,CA,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Pinnacles National Park,393219,224476,237677,196635,206533,215555,233334,222152,177224,165740,227255
Redwood National Park,41.76807455,-124.0505009,"Redwood National Park, Del Norte County, CA, United States of America",Redwood National Park,,,,,,,Del Norte County,California,CA,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Redwood National Park,380167,352517,393364,429166,527143,536297,445000,482536,504722,265177,431609
Rocky Mountain National Park,40.3333178,-105.7088953,"Rocky Mountain National Park, Larimer County, CO, United States of America",Rocky Mountain National Park,,,,,,,Larimer County,Colorado,CO,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Rocky Mountain National Park,3176941,3229617,2991141,3434751,4155916,4517585,4437215,4590493,4670053,3305199,3850891
Saguaro National Park,32.17100005,-110.6184853,"Saguaro National Park, Pima County, AZ, United States of America",Saguaro National Park,,,,,,,Pima County,Arizona,AZ,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Saguaro National Park,610045,634286,678261,673572,753446,820426,964760,957405,1020226,762226,787465
Sequoia National Park,36.49584065,-118.5599194,"Sequoia National Park, Tulare County, CA 93262, United States of America",Sequoia National Park,,,,,93262,,Tulare County,California,CA,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Sequoia National Park,1006583,1106584,909274,1039137,1097464,1254688,1291256,1229594,1246053,796086,1097672
Shenandoah National Park,38.47196675,-78.46369728,"Shenandoah National Park, Warren County, VA, United States of America",Shenandoah National Park,,,,,,,Warren County,Virginia,VA,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Shenandoah National Park,1209883,1210200,1136505,1255321,1321873,1437341,1458874,1264880,1425507,1666265,1338665
Theodore Roosevelt National Park,46.95359,-103.45922,"Theodore Roosevelt National Park, North Billings, ND, United States of America",Theodore Roosevelt National Park,,North Billings,,,,North Billings,Billings County,North Dakota,ND,United States,us,1,,CC BY 4.0,https://www.geonames.org/datasources/,Theodore Roosevelt National Park,563407,640555,545090,559580,580033,753880,708003,749389,691658,551303,634290
Virgin Islands National Park,18.33688305,-64.74001184,"Virgin Islands National Park, Cruz Bay, US Virgin Islands, United States of America",Virgin Islands National Park,,,,,,Cruz Bay,Saint Thomas - Saint John District,United States Virgin Islands,,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Virgin Islands National Park,442414,483341,438601,426930,438372,411343,304408,112287,133398,167540,335863
Voyageurs National Park,48.603356,-93.3770808,"Voyageurs National Park, International Falls, MN 56649, United States of America",Voyageurs National Park,,,,,56649,International Falls,Koochiching County,Minnesota,MN,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Voyageurs National Park,177184,214841,233390,239160,238313,241912,237250,239656,232974,263091,231777
White Sands National Park,32.873097,-106.171943,"White Sands National Park, Otero County, NM, United States of America",White Sands National Park,,,,,,,Otero County,New Mexico,NM,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,White Sands National Park,428924,447385,490544,503660,497506,555793,612468,603008,608785,415383,516346
Wind Cave National Park,43.574073,-103.416258,"Wind Cave National Park, East Custer, SD, United States of America",Wind Cave National Park,,East Custer,,,,East Custer,Custer County,South Dakota,SD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Wind Cave National Park,538394,529083,516142,547022,612198,617377,619924,656397,615350,448405,570029
Wrangell-St. Elias National Park & Preserve,61.223343,-149.838329,"Wrangell Street, Anchorage, AK, United States of America",,,,Wrangell Street,,,Anchorage,Municipality of Anchorage,Alaska,AK,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Wrangell-St. Elias National Park & Preserve,65225,87158,69984,74722,80366,79047,68292,79450,74518,16655,69542
Yellowstone National Park,44.6200885,-110.5606893,"Yellowstone National Park, WY, United States of America",Yellowstone National Park,,,,,,,,Wyoming,WY,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Yellowstone National Park,3394326,3447729,3188030,3513484,4097710,4257177,4116524,4115000,4020288,3806306,3795657
Yosemite National Park,37.84054795,-119.5165878,"Yosemite National Park, CA 95389, United States of America",Yosemite National Park,,,,,95389,,,California,CA,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Yosemite National Park,3951393,3853404,3691191,3882642,4150217,5028868,4336890,4009436,4422861,2268313,3959522
Zion National Park,37.2005744,-112.9870652,"Zion National Park, 1 Zion Park Boulevard, Springdale, UT 84767, United States of America",Zion National Park,1,,Zion Park Boulevard,,84767,Springdale,Washington County,Utah,UT,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Zion National Park,2825505,2973607,2807387,3189696,3648846,4295127,4504812,4320033,4488268,3591254,3664454
